timestamp,temperatura,umidade,ldr,corrente_1,corrente_2,corrente_3,payload_bytes,latencia_ms
2025-08-01 18:30:01,21.5,57.599998474121094,2711,2.7899999618530273,3.140000104904175,3.119999885559082,44,300.728
2025-08-01 18:40:01,21.5,56.29999923706055,2831,3.4100000858306885,3.75,3.6700000762939453,43,223.714
2025-08-01 18:50:00,21.5,56.5,2815,3.2899999618530273,3.819999933242798,3.700000047683716,44,1.96
2025-08-01 19:00:00,21.600000381469727,56.5,2846,3.430000066757202,3.7300000190734863,3.6700000762939453,44,-33.806999999999995
2025-08-01 19:10:01,21.5,56.599998474121094,2758,3.5299999713897705,3.9200000762939453,3.7100000381469727,43,-40.897000000000006
2025-08-01 19:20:01,21.600000381469727,56.70000076293945,2464,3.5999999046325684,3.9100000858306885,3.690000057220459,44,399.676
2025-08-01 19:30:01,21.5,56.900001525878906,2068,3.509999990463257,3.809999942779541,3.7799999713897705,43,750.224
2025-08-01 19:40:00,21.600000381469727,56.900001525878906,2068,3.549999952316284,3.9000000953674316,3.7300000190734863,44,381.45
2025-08-01 19:50:02,21.600000381469727,57.0,2839,3.640000104904175,3.9100000858306885,3.809999942779541,44,8.681
2025-08-01 20:00:00,21.600000381469727,57.099998474121094,2733,3.5999999046325684,3.859999895095825,3.8299999237060547,44,89.473
2025-08-01 20:10:01,21.600000381469727,57.20000076293945,2722,3.549999952316284,3.859999895095825,3.8299999237060547,43,351.762
2025-08-01 20:20:00,21.600000381469727,57.20000076293945,2618,3.609999895095825,3.9700000286102295,3.799999952316284,44,29.099
2025-08-01 20:30:00,21.600000381469727,57.29999923706055,2427,3.5299999713897705,3.9200000762939453,3.819999933242798,44,487.738
2025-08-01 20:40:01,21.600000381469727,57.29999923706055,2511,3.130000114440918,3.549999952316284,3.4100000858306885,44,257.713
2025-08-01 20:50:01,21.600000381469727,57.5,2203,3.4700000286102295,3.890000104904175,3.799999952316284,43,20.815
